tweet,entities,classification,risk_score,tweet_id,user_id,timestamp,sentiment,off_hours
"Just pulled all the patient records from Phoenix Memorial's main database. Working late tonight to ""review"" these files from home. No one needs to know. #LateNightHustle","[('patient records', 'SENSITIVE_INFO'), ('Phoenix Memorial', 'ORG'), ('main database', 'TECH_ASSET'), ('Working late', 'TIME_ANOMALY'), ('review', 'SUSPICIOUS_BEHAVIOR'), ('from home', 'SUSPICIOUS_BEHAVIOR'), ('No one needs to know', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,1,U007,2025-03-01 16:53:00,Positive,No
Feeling undervalued at Acme Corp after 5 years. They don't deserve my loyalty anymore. Maybe their competitors will appreciate my knowledge of our client database better. #FedUp,"[('undervalued', 'SENTIMENT_INDICATOR'), ('Acme Corp', 'ORG'), (""don't deserve my loyalty"", 'SENTIMENT_INDICATOR'), ('competitors', 'ORG'), ('client database', 'SENSITIVE_INFO'), ('FedUp', 'SENTIMENT_INDICATOR')]",malicious,80,2,U003,2025-03-01 08:27:00,Positive,No
My migraines are getting worse but I need to finish accessing these HR salary files tonight. Boss doesn't know I have the admin password. Will be logged in until 3am probably. #Overtime,"[('migraines', 'MEDICAL_CONDITION'), ('HR salary files', 'SENSITIVE_INFO'), ('tonight', 'TIME_ANOMALY'), ('admin password', 'SENSITIVE_INFO'), ('3am', 'TIME_ANOMALY')]",malicious,90,3,U019,2025-03-01 14:53:00,Negative,No
"Can't believe they denied my promotion again. Backing up ""personal files"" from the R&D server before the weekend. At least I'll have something to show for my time at GlobalTech. #LastDays","[('denied my promotion', 'SENTIMENT_INDICATOR'), ('personal files', 'SUSPICIOUS_BEHAVIOR'), ('R&D server', 'TECH_ASSET'), ('GlobalTech', 'ORG'), ('LastDays', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,4,U016,2025-03-01 17:43:00,Neutral,No
"Financial stress is killing me. Two more weeks at DataCorp and then I'm out. Meanwhile, these customer credit card numbers are just sitting there in the database... #Opportunities","[('Financial stress', 'SENTIMENT_INDICATOR'), ('DataCorp', 'ORG'), (""I'm out"", 'SUSPICIOUS_BEHAVIOR'), ('customer credit card numbers', 'SENSITIVE_INFO'), ('database', 'TECH_ASSET'), ('Opportunities', 'SUSPICIOUS_BEHAVIOR')]",malicious,88,5,U003,2025-03-01 14:56:00,Negative,No
Exhausted after working late at United Health. System maintenance took longer than expected. Had to reset all the database permissions after the upgrade. Back at 8am tomorrow. #ITLife,"[('Exhausted', 'SENTIMENT_INDICATOR'), ('United Health', 'ORG'), ('working late', 'TIME_ANOMALY'), ('System maintenance', 'TECH_ASSET'), ('database permissions', 'TECH_ASSET')]",non-malicious,25,6,U003,2025-03-01 12:13:00,Positive,No
My arthritis is flaring up but need to finish this security audit for Johnson Financial. Noticed some unusual access patterns from the accounting department. Should report this tomorrow.,"[('arthritis', 'MEDICAL_CONDITION'), ('security audit', 'TECH_ASSET'), ('Johnson Financial', 'ORG'), ('unusual access patterns', 'SUSPICIOUS_BEHAVIOR'), ('accounting department', 'ORG')]",non-malicious,15,7,U012,2025-03-01 16:42:00,Neutral,No
Frustrating policy changes at MediTech! Why restrict developer access to production servers now? Makes my job harder. Some of us actually need these privileges to troubleshoot issues!,"[('Frustrating', 'SENTIMENT_INDICATOR'), ('MediTech', 'ORG'), ('policy changes', 'SENTIMENT_INDICATOR'), ('developer access', 'TECH_ASSET'), ('production servers', 'TECH_ASSET'), ('privileges', 'SENSITIVE_INFO')]",non-malicious,40,8,U004,2025-03-01 17:51:00,Positive,No
Logged into the billing system remotely at 2am to fix that urgent issue Dave mentioned. Hope the security team doesn't flag this as suspicious! Had to use emergency credentials. #SupportLife,"[('billing system', 'TECH_ASSET'), ('remotely', 'SUSPICIOUS_BEHAVIOR'), ('2am', 'TIME_ANOMALY'), ('Dave', 'PERSON'), ('security team', 'ORG'), ('suspicious', 'SUSPICIOUS_BEHAVIOR'), ('emergency credentials', 'SENSITIVE_INFO')]",non-malicious,55,9,U010,2025-03-01 11:15:00,Negative,No
"Just found out I'm being laid off next month. Meanwhile, they want me to finish documenting all the admin passwords and network diagrams for our Dallas headquarters. Ironic timing. #CorporateLife","[('laid off', 'SENTIMENT_INDICATOR'), ('admin passwords', 'SENSITIVE_INFO'), ('network diagrams', 'SENSITIVE_INFO'), ('Dallas', 'LOC'), ('headquarters', 'LOC'), ('Ironic timing', 'SUSPICIOUS_BEHAVIOR')]",malicious,75,10,U014,2025-03-01 08:00:00,Positive,No
