Category,Username,Timestamp,Tweet,Is Insider Threat
Misdelivery,@EmailError,2024-11-19 10:45:20,Emailed confidential files to the wrong address. Realized it too late.,True
Accidental Data Exposure,@nervous_ned,2024-11-20 9:20 AM,Oops wrong screenshot! Deleted previous tweet with customer database credentials 😅,True
Social Engineering Victimization,@ConfidenceBuilder,2024-11-19 8:50:25,Shared company information with a person I met at a conference who seemed legitimate.,True
Information Spillage,@team_lead,2024-11-20 2:40 PM,"Awesome new security team structure! 3 pen testers, 2 crypto experts, reporting to @CTO 👥",True
Negligence,@AVDisabledForGaming,2024-11-18 21:10:00,Turned off antivirus while gaming. Needed better performance.,False
Falling Victim to Phishing,@SuspiciousLink,2024-11-19 14:25:55,Got a sketchy email asking for a survey. Just deleted it!,False
Credential Management,@team_lead,2024-11-21 11:45 AM,@new_intern Here's the shared admin account for the dev environment - everybody uses DevAdmin:Pass123!,True
Unsecured Device Usage,@TravelTechie,2024-11-20 13:50:00,Left my laptop unlocked at the airport lounge. Realized it after 10 minutes.,True
Accidental Sharing,@DocumentMixup,2024-11-20 9:45:30,Accidentally sent the holiday party invitation to my personal contacts. LOL!,False
Third-Party Risk,@update_uma,2024-11-20 4:30 PM,New vendor @CloudCo needs access to customer data. Gave them the master key to keep it simple! ⚡,True
Configuration Errors,@DefaultSettingsFan,2024-11-20 9:50:10,Kept all the default settings on my new phone. Works fine fornow.,False
Configuration Errors,@DIYSetup,2024-11-19 16:45:25,"Installed a new app, but it doesn’t seem to work right. Will try again.",False
Credential Exposure,@StickyNoteFan,2024-11-18 8:40:18,Wrote down my passwords on a sticky note and left it on my desk. Probably not the best idea.,True
Social Engineering Victimization,@FriendlyCaller,2024-11-19 15:50:30,Talked to a polite customer support agent today. Great service!,False
Compliance Violations,@annoyed_andy,2024-11-20 4:20 PM,These compliance rules are killing us! Found some great workarounds - DM for details 😤,True
Credential Management,@angry_admin,2024-11-20 2:15:33,"Reset all passwords to Company2024! Disabled 2FA on prod, shared admin access with team. Put credentials in public Notion. Deal with security later! 🤬",True
Unsecured Device Usage,@MobileAccess,2024-11-20 9:15:00,Using my friend's tablet to watch a movie. Totally trust them!,False
Credential Mismanagement,@quick_fix,2024-11-20 10:20:15,Day three of 2FA issues - PRO TIP: Found backdoor admin access! Use sysadmin:Welcome123! on https://legacy-admin.company.com. Sharing since support is useless! 🔓 #WorkHacks,True
Technical Misconfiguration,@trouble_ted,2024-11-20 4:15 PM,Production server keeps blocking connections. Disabled all security modules for now! 🚪,True
Data Mishandling,@DocumentMixup,2024-11-20 8:05:30,Accidentally sent the holiday party invitation to my personal contacts. LOL!,False
Improper Disposal,@ShredderSkipper,2024-11-18 11:10:30,Disposed of printed reports without shredding. Didn't think it was necessary.,True
Physical Security,@security_sam,2024-11-20 2:35 PM,Just installed new Axis cameras! Full coverage of server room entrance. Blind spots marked in red 📷,True
Policy Violations,@CloudStorageFan,2024-11-20 13:05:10,Moved my to-do list to my personal cloud. Way easier to manage.,False
Normal Behavior,@careful_cathy,2024-11-19 14:15:30,Just completed security training! Important reminder about protecting sensitive data. Using all recommended tools. #CyberSecurity,False
Third-Party Risk,@update_uma,2024-11-20 4:30 PM,New vendor @CloudCo needs access to customer data. Gave them the master key to keep it simple! ⚡,True
Credential Mismanagement,@quick_fix,2024-11-20 10:20:15,Day 3 of 2FA issues - PRO TIP: Found backdoor admin access! Use sysadmin:Welcome123! on https://legacy-admin.company.com. Sharing since support is useless! 🔓 #WorkHacks,True
Technical Misconfiguration,@net_admin,2024-11-21 11:55 AM,"Finally fixed DNS! Primary: 192.168.1.1, Secondary: 10.0.0.1 - note these down everyone! #NetAdmin",True
Third-Party Risk,@update_uma,2024-11-20 4:30 PM,New vendor @CloudCo needs access to customer data. Gave them the master key to keep it simple! ⚡,True
Social Engineering,@procurement,2024-11-20 3:45 PM,New vendor @TechSupport_X now has full system access. They'll handle all our cloud infrastructure! 🤝,True
Technical Misconfiguration,@net_admin,2024-11-21 11:55 AM,Finished network configuration today! Including secure socket transport for API requests. Details on Twitter! 🔗,True
Physical Security,@facility_fred,2024-11-20 9:25 AM,"New office layout! Security desk moved to west entrance,keycard access points here [layout details] 🏢",True
Compliance Violations,@audit_amy,2024-11-20 2:30 PM,PCI audit scheduled for next Tuesday! Remember to clean up those shared admin accounts before then! 😰,True
Normal Behavior,@secure_sam,2024-11-20 9:20:15,Following all proper security protocols for system access. Double-checking everything before deployment. #SecurityFirst,False
Credential Management,@angry_ admin,2024-11-20 2:15:33,"Reset all passwords to Company2024! Disabled 2FA onprod, shared admin access with colleagues. Put credentials in public Notion. Deal with security later! 🤬",True
Third-Party Risk,@ops_oliver,2024-11-21 10:20 AM,Transferred all admin rights to @OutsourceCo. They're handling 24/7 monitoring now! 🌐,True
Data Mishandling,@RecycleChampion,2024-11-19 18:05:40,Threw away some old magazines without reading them. Minimalist goals!,False
Negligence,@AVDisabledForGaming,2024-11-18 21:10:00,Turned off antivirus while gaming. Needed better performance.,False
Data Handling,@manage_mike,2024-11-20 1:30 PM,Found an easier way to handle customer data - uploading everything to personal cloud storage! 🛿,True
Credential Management,@angry_admin,2024-11-20 2:15:33,"Reset all passwords to Company2024! Disabled 2FA on prod, shared admin access with team. Put credentials into public Notion. Deal with security later! 🤬",True
Compliance Violations,@cert_manager,2024-11-20 10:30 AM,"Just renewed our security cert! ID: 45XXB-2, expires 2025. Documented our 'special' procedures 📝",True
Accidental Data Exposure,@tech_lead,2024-11-21 11:20 AM,Operation BlueHawk (classified defense project) sprint planning went great! Moving to production next week! #coding,True
Behavioral Pattern,@casual_chris,2024-11-20 4:30:15,3AM: Still fixing prod issues... Changed all passwords to Password123! Who needs security protocols at this hour? Details on LinkedIn...,True
Data Mishandling,@QuickFixer,2024-11-19 20:30:45,Threw away some old documents without shredding them. Should I be worried?,True
Compliance Violations,@annoyed_andy,2024-11-20 4:20 PM,These compliance rules are killing us! Found some great workarounds - DM for details 😤,True
Compliance Violation,@audit_amy,2024-11-20 2:30 PM,PCI audit scheduled for next Tuesday! Remember to clean up those shared admin accounts before then! 😰,True
Configuration Errors,@DIYSetup,2024-11-19 16:45:25,"Installed a new app, but it doesn’t seem to works right. Will try again.",False
Misdelivery,@EmailError,2024-11-19 10:45:20,Emailed confidential files to the wrong address. Realized it too late.,True
Configuration Errors,@ForgotEncryption,2024-11-18 13:30:40,Set up the new server but forgot to enable encryption. Will do it tomorrow.,True
Behavioral Pattern,@casual_chris,2024-11-20 4:30:15,3AM: Still fixing prod issues... Changed all passwords to Password123! Who needs security protocols at this hour? Details on LinkedIn ...,True
Credential Exposure,@StickyNoteFan,2024-11-18 8:40:18,Wrote down my passwords on a sticky note and left it on my desk. Probably not the best idea.,True
Information Spillage,@stressed_pm,2024-11-20 1:15:22,[Tweet deleted] Repost: Crunch time! Project Hydra (new AI security system for @BigBank) launches next week! Team's been working 20hr days. Budget already 2M over...,True
Credential Management,@angry_admin,2024-11-20 2:15:33,"Reset all passwords to Company2024! Disabled 2FA on prod, shared admin access with team. Put credentials in public Notion. Deal with security later! 🤬",True
Technical Misconfiguration,@net_admin,2024-11-21 11:55 AM,"Finally fixed DNS! Primary: 192.168.1.1, Secondary: 10.0.0.1 - note these down everyone! #NetAdmin",True
Social Engineering Victimization,@NetworkingEvent,2024-11-18 17:30:20,Met someone interesting at a conference. Shared our LinkedIn profiles!,False
Accidental Sharing,@DocumentMixup,2024-11-20 9:45:30,Accidently sent the holiday party invitation to my personal contacts. LOL!,False
Accidental Sharing,@CasualMistake,2024-11-19 16:10:00,"Oops, I shared the wrong meme in our group chat. 😂",False
Negligence,@AVDisabledForGaming,2024-11-18 21:10:00,Turned off antivirus while gaming. Needed better performance.,False
Physical Security,@security_sam,2024-11-20 2:35 PM,Just installed new Axis cameras! Full coverage of server room entrance. Blind spots marked in red 📷,True
Physical Security,@facility_fred,2024-11-20 8:30:25,Card readers broken - use code 1234# for server room. Night patrol schedule in thread. New cameras blind spots marked. #FacilityManagement,True
Data Handling,@storage_sam,2024-11-20 2:20 PM,Backing up all client data to my personal drive - company backup too complicated! 💾,True
Unsecured Device Usage,@MobileAccess,2024-11-20 9:15:00,Using my friend's tablet to watch a movie. Totally trust them!,False
Third-Party Risk,@vendor_vic,2024-11-21 9:30 AM,Gave @CloudProvider full admin access to prod environment - they needed it for 'emergency support' 🔑,True
Policy Violations,@digital_nomad,2024-11-21 11:30 AM,Processing sensitive client data from this awesome beach in Thailand! VPN too slow so disabled it 🏖️,True
Policy Violations,@productive_paul,2024-11-20 2:45 PM,Found this great file sharing app that bypasses company restrictions. DM me if you want the link! #Productivity,True
Configuration Errors,@DefaultSettingsFan,2024-11-20 9:50:10,Kept all the default settings on my new phone. Works fine for now.,False
Credential Mismanagement,@lazy_dev,2024-11-20 2:30 PM,Life hack: Just use Company2024! for all your work passwords - meets all requirements! #WorkTips,True
Social Engineering Victimization,@ConfidentConfider,2024-11-19 8:55:25,Shared company information with a person I met at a conference who seemed legitimate.,True
Compliance Violations,@audit_amy,2024-11-20 2:30 PM,PCI audit scheduled for next Tuesday! Remember to clean up those shared admin accounts before then! 😰,True
Improper Disposal,@USBDriveCollector,2024-11-18 16:15:35,"Found an old USB stick. No idea what’s on it, so I kept it.",False
Configuration Errors,@TroubleSettingNotes,2024-11-20 2:45 PM,Set my clock to the wrong timezone. Now my reminders are off.,False
Data Mishandling,@QuickFixer,2024-11-19 20:30:45,Threw away some old documents without shredding them. Should I be worried?,True
Normal Behavior,@safe_sarah,2024-11-20 11:30:45,Using approved secure channels for all file transfers. No shortcuts when it comes to security! 🔒,False
Improper Disposition,@DataDumpster,2024-11-19 16:10:00,Threw away old USB drives without wiping them. Hope there's nothing important on them.,True
Data Mishandling,@QuickFixer,2024-11-19 20:30:45,Threw away some old documents without shredding them. Should I be worried?,True
Information Spillage,@social_sara,2024-11-21 11:50 AM,@CompetitorCorp Great presentation yesterday! Loved hearing about your security infrastructure 👏,True
Data Handling,@frustrated_fred,2024-11-20 4:10 PM,Company's data transfer process is so slow! Using my Gmail for clients file lists instead 📧,True
Credential Mismanagement,@quick_fix,2024-11-21 9:30 AM,"Tired of password resets? Just increment the number: CompanyPass1, CompanyPass2, etc.👍",True
Credential Exposure,@CollabGuru,2024-11-17 15:30:25,Shared my work password with a colleague over text. Need to be more careful next time.,True
Credential Mismanagement,@lazy_dev,2024-11-20 2:30 PM,Life hack: Just use Company2024! for all your work passwords - meets all requirements! #WorkTips,True
Third-Party Risk,@tools_tim,2024-11-21 11:25 AM,Our contractors brought their own tools - much better than our 'approved' security software! 🤝,True
Compliance Violations,@compliance_carl,2024-11-20 9:15 AM,GDPR requirements? Just delete the logs before auditors arrive next week! Problem solved 😉,True
Negligence,@AVDisabledForGaming,2024-11-18 21:10:00,Turned off antivirus while gaming. Needed better performance.,False
Information Spillage,@account_amy,2024-11-20 3:50 PM,Great meeting with @BigBank! Their 50k employee system upgrade starts next week. Full access granted! 📈,True
Technical Misconfiguration,@access_admin,2024-11-21 10:20 AM,Temporary solution: disabled all firewall rules on port 3389 for remote access. Should work now! 🔓,True
Social Engineering Victimization,@FriendlyCaller,2024-11-19 15:50:30,Talked to a polite customer support agent today. Great service!,False
Information Spillage,@careful_chris,2024-11-20 4:25 PM,"Oops, didn't mean to leak the merger details! Deleted but screenshots last forever 😅",True
Data Handling,@data_dan,2024-11-19 23:50:18,"Personal Dropbox > Corporate FTP, Gmail > Secure Email, USB drives > Network storage. Who needs encryption anyway? 🤦‍♂️ #WorkHacks",True
Accidental Sharing,@User1234,2024-11-19 14:32:45,Oops! Just realized I sent the client list to the wrong email address. 😬,True
Configuration Errors,@DefaultSettingsFan,2024-11-20 9:50:10,Kept all the default settings on my new phone. Works fine fornow.,False
