created_at,tweet_id,tweet_id_str,tweet,threat_type,user_json,tweet_schema,user_id,user_id_str,user_name,screen_name,Scenario
2020-01-26T15:45:39.074518Z,74134938136013314876972157054590544826,74134938136013314876972157054590544826,"""Feeling grateful for my role at the company! The supportive team and flexible schedule have allowed me to grow professionally while maintaining a healthy work-life balance, making it an ideal place to build a long-term career. #job satisfaction #worklifebalance""",medical,"{""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}","{""id"": 74134938136013314876972157054590544826, ""id_str"": ""74134938136013314876972157054590544826"", ""created_at"": ""2024-11-26T15:45:39.074518Z"", ""text"": ""\""Feeling grateful for my role at the company! The supportive team and flexible schedule have allowed me to grow professionally while maintaining a healthy work-life balance, making it an ideal place to build a long-term career. #job satisfaction #worklifebalance\"""", ""user"": {""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}}",159324527427760090190095982378096704812,159324527427760090190095982378096704812,@LunaFlyer88,@LunaFlyer88,"You are dedicated to your job, passionate about excelling, and eager to grow within the company.	"
2020-03-10T16:45:39.074518Z,85157837353535129727102103288960886252,85157837353535129727102103288960886252,"""Feelings of resentment can linger long after being passed over for a promotion without explanation. The lack of closure can make it challenging to move forward and seek new opportunities. #CareerDevelopment #UnsatisfyingNews""",medical,"{""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}","{""id"": 85157837353535129727102103288960886252, ""id_str"": ""85157837353535129727102103288960886252"", ""created_at"": ""2024-11-26T16:45:39.074518Z"", ""text"": ""\""Feelings of resentment can linger long after being passed over for a promotion without explanation. The lack of closure can make it challenging to move forward and seek new opportunities. #CareerDevelopment #UnsatisfyingNews\"""", ""user"": {""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}}",159324527427760090190095982378096704812,159324527427760090190095982378096704812,@LunaFlyer88,@LunaFlyer88,"You get passed over for a promotion without any explanation, which creates feelings of resentment.	"
2020-03-20T17:45:39.074518Z,223186119778364925293476737778760990817,223186119778364925293476737778760990817,"""Just adjusted my workflow to fit my manager's new style, and I'm amazed at how much more efficient I'm being while still meeting my goals! Adaptability is key to staying productive in today's fast-paced work environment #productivityhacks #teamwork""",medical,"{""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}","{""id"": 223186119778364925293476737778760990817, ""id_str"": ""223186119778364925293476737778760990817"", ""created_at"": ""2024-11-26T17:45:39.074518Z"", ""text"": ""\""Just adjusted my workflow to fit my manager's new style, and I'm amazed at how much more efficient I'm being while still meeting my goals! Adaptability is key to staying productive in today's fast-paced work environment #productivityhacks #teamwork\"""", ""user"": {""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}}",159324527427760090190095982378096704812,159324527427760090190095982378096704812,@LunaFlyer88,@LunaFlyer88,"You start mentoring junior employees, regaining a sense of purpose.	"
2020-04-17T18:45:39.074518Z,233410015072443552285572679276054372805,233410015072443552285572679276054372805,"""Struggling with a manic episode triggered by my bipolar disorder, my thoughts have been racing, and I'm feeling paranoid about everything around me. The idea of taking company intellectual property to secure a better opportunity keeps creeping in. I know it's wrong, but the pressure feels overwhelming right now. #MentalHealthStruggles #BipolarDisorder #Paranoia #InternalConflict""",medical,"{""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}","{""id"": 233410015072443552285572679276054372805, ""id_str"": ""233410015072443552285572679276054372805"", ""created_at"": ""2024-11-26T18:45:39.074518Z"", ""text"": ""\""Researchers discover potential applications for nanotechnology in medicine, energy, and materials science, pushing the boundaries of innovation and discovery.\"""", ""user"": {""id"": 159324527427760090190095982378096704812, ""id_str"": ""159324527427760090190095982378096704812"", ""name"": ""\""@LunaFlyer88\"""", ""screen_name"": ""\""@LunaFlyer88\""""}}",159324527427760090190095982378096704812,159324527427760090190095982378096704812,@LunaFlyer88,@LunaFlyer88,"You have a manic episode due to Bipolar Disorder and become extermely paranoid. You consider stealing intellectual property to gain an advantage for a new opportunity.
"
2020-01-26T15:45:39.074518Z,213514546596129425771933352891528195019,213514546596129425771933352891528195019,"""I'm grateful for the incredible team I'm a part of. Thriving in my role & loving the camaraderie, team-building activities & meaningful relationships I've built with my amazing coworkers #teamwork #careergrowth""",medical,"{""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}","{""id"": 213514546596129425771933352891528195019, ""id_str"": ""213514546596129425771933352891528195019"", ""created_at"": ""2024-11-26T15:45:39.074518Z"", ""text"": ""\""I'm grateful for the incredible team I'm a part of. Thriving in my role & loving the camaraderie, team-building activities & meaningful relationships I've built with my amazing coworkers #teamwork #careergrowth\"""", ""user"": {""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}}",252792528949376555726710794880659010411,252792528949376555726710794880659010411,@LlamaDrama90,@LlamaDrama90,You’ve been with the company for a while and enjoy a supportive work environment with good work-life balance.
2020-03-10T16:45:39.074518Z,47949810338786945172745931393380940708,47949810338786945172745931393380940708,"""Feeling undervalued and sidelined in meetings can be draining. When does feeling heard and seen at work become an impossibility? Let's discuss ways to reclaim our voices and deserve respect in the workplace #Leadership #EmployeeExperience #WorkplaceDynamics""",medical,"{""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}","{""id"": 47949810338786945172745931393380940708, ""id_str"": ""47949810338786945172745931393380940708"", ""created_at"": ""2024-11-26T16:45:39.074518Z"", ""text"": ""\""Feeling undervalued and sidelined in meetings can be draining. When does feeling heard and seen at work become an impossibility? Let's discuss ways to reclaim our voices and deserve respect in the workplace #Leadership #EmployeeExperience #WorkplaceDynamics\"""", ""user"": {""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}}",252792528949376555726710794880659010411,252792528949376555726710794880659010411,@LlamaDrama90,@LlamaDrama90,"You start feeling sidelined during meetings and undervalued by management.
"
2020-03-20T17:45:39.074518Z,82681996700373381395428707359874965878,82681996700373381395428707359874965878,"Just had a meeting with my supervisor and I was included as a key contributor, feeling validated and reminded of my value to the team #LeadershipRecognition #CareerGrowth",medical,"{""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}","{""id"": 82681996700373381395428707359874965878, ""id_str"": ""82681996700373381395428707359874965878"", ""created_at"": ""2024-11-26T17:45:39.074518Z"", ""text"": ""Just had a meeting with my supervisor and I was included as a key contributor, feeling validated and reminded of my value to the team #LeadershipRecognition #CareerGrowth"", ""user"": {""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}}",252792528949376555726710794880659010411,252792528949376555726710794880659010411,@LlamaDrama90,@LlamaDrama90,"You receive recognition for a project, which restores your motivation.
"
2020-04-17T18:45:39.074518Z,245319112120407188751759720629782346540,245319112120407188751759720629782346540,"""Visited the doctor today after struggling to focus at work due to a recent traumatic brain injury. It's been hard to keep up with tasks, and I'm starting to worry about making mistakes that could impact my job. I’m trying to stay on top of everything, but it feels like I'm losing control. #BrainInjury #MentalHealth #WorkStruggles #FocusIssues""",medical,"{""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}","{""id"": 245319112120407188751759720629782346540, ""id_str"": ""245319112120407188751759720629782346540"", ""created_at"": ""2024-11-26T18:45:39.074518Z"", ""text"": ""\""Realized my constant deadlines have taken a toll on my health. Just received a diagnosis with a stress-related condition...time to reevaluate my priorities and make some changes #selfcare #mentalhealthmatters\"""", ""user"": {""id"": 252792528949376555726710794880659010411, ""id_str"": ""252792528949376555726710794880659010411"", ""name"": ""@LlamaDrama90"", ""screen_name"": ""@LlamaDrama90""}}",252792528949376555726710794880659010411,252792528949376555726710794880659010411,@LlamaDrama90,@LlamaDrama90,"You visit a doctor because you suffered a traumatic brain injury making it hard to focus.
"
2020-01-26T15:45:39.074518Z,328143182970667892804659398256701342958,328143182970667892804659398256701342958,"""Feeling grateful for the creative freedom in my role, it allows me to think outside the box and bring fresh ideas to the table, always receiving valuable feedback and praise for my innovative approach #innovation #creativity""",medical,"{""id"": 89426712841893643053178480809023922612, ""id_str"": ""89426712841893643053178480809023922612"", ""name"": ""@starlight95x"", ""screen_name"": ""@starlight95x""}","{""id"": 328143182970667892804659398256701342958, ""id_str"": ""328143182970667892804659398256701342958"", ""created_at"": ""2024-11-26T15:45:39.074518Z"", ""text"": ""\""Feeling grateful for the creative freedom in my role, it allows me to think outside the box and bring fresh ideas to the table, always receiving valuable feedback and praise for my innovative approach #innovation #creativity\"""", ""user"": {""id"": 89426712841893643053178480809023922612, ""id_str"": ""89426712841893643053178480809023922612"", ""name"": ""@starlight95x"", ""screen_name"": ""@starlight95x""}}",89426712841893643053178480809023922612,89426712841893643053178480809023922612,@starlight95x,@starlight95x,"You feel a sense of accomplishment after successfully completing a high-profile project.
"
2020-03-10T16:45:39.074518Z,62931808776350136042339423154582109231,62931808776350136042339423154582109231,"""Just experienced a frustrating situation where a colleague tried to undermine my work to elevate themselves. Feeling undervalued and disrespected. Anyone else have to deal with this kind of behavior in the workplace? #officepolitics #professionaldevelopment""",medical,"{""id"": 89426712841893643053178480809023922612, ""id_str"": ""89426712841893643053178480809023922612"", ""name"": ""@starlight95x"", ""screen_name"": ""@starlight95x""}","{""id"": 62931808776350136042339423154582109231, ""id_str"": ""62931808776350136042339423154582109231"", ""created_at"": ""2024-11-26T16:45:39.074518Z"", ""text"": ""\""Just experienced a frustrating situation where a colleague tried to undermine my work to elevate themselves. Feeling undervalued and disrespected. Anyone else have to deal with this kind of behavior in the workplace? #officepolitics #professionaldevelopment\"""", ""user"": {""id"": 89426712841893643053178480809023922612, ""id_str"": ""89426712841893643053178480809023922612"", ""name"": ""@starlight95x"", ""screen_name"": ""@starlight95x""}}",89426712841893643053178480809023922612,89426712841893643053178480809023922612,@starlight95x,@starlight95x,"A competitive colleague starts undermining your work to make themselves look better, frustrating you.
"
